State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,State Population,Total Crimes,Crime Rate
UTTAR PRADESH,2018,3946,15381,2444,12555,17,14233,27,220235838,48603,22.068615372217486
UTTAR PRADESH,2019,3065,11649,2410,11988,42,18304,22,223319140,47480,21.2610526800345
UTTAR PRADESH,2020,487,349,65,474,43,668,8,226445608,2094,0.9247253759940444
UTTAR PRADESH,2021,534,402,72,655,13,519,17,229615847,2212,0.9633481438238886
UTTARAKHAND,2001,74,126,56,103,84,301,0,8463184,744,8.791017659547517
UTTARAKHAND,2002,89,155,66,145,97,316,1,8612982,869,10.089420830091136
UTTARAKHAND,2003,107,134,93,136,98,317,0,8765432,885,10.09647898700258
UTTARAKHAND,2004,115,127,82,143,110,405,0,8920580,982,11.00825282660993
UTTARAKHAND,2005,133,125,63,100,89,272,0,9078474,782,8.61378244845995
UTTARAKHAND,2006,147,183,80,153,113,358,0,9239163,1034,11.191489965054194
UTTARAKHAND,2007,117,227,70,146,63,463,0,9402696,1086,11.549878885800414
UTTARAKHAND,2008,87,222,73,120,306,340,0,9569124,1148,11.99691842220876
UTTARAKHAND,2009,111,247,94,119,249,361,0,9738498,1181,12.127126791010276
UTTARAKHAND,2010,121,249,75,125,165,334,0,9910869,1069,10.786137925947765
UTTARAKHAND,2011,129,283,83,0,72,307,3,10086292,877,8.694969370309723
UTTARAKHAND,2012,148,256,71,139,73,368,12,10227500,1067,10.43265705206551
UTTARAKHAND,2013,228,633,43,295,72,435,13,10370685,1719,16.575568537661688
UTTARAKHAND,2014,270,275,104,343,22,301,19,10515874,1334,12.685583718481222
UTTARAKHAND,2015,283,336,54,318,51,407,18,10663096,1467,13.757730400251484
UTTARAKHAND,2016,336,377,57,344,35,392,11,10812380,1552,14.353916529015814
UTTARAKHAND,2017,374,371,60,435,4,394,6,10963753,1644,14.99486535313227
UTTARAKHAND,2018,561,502,63,548,8,622,0,11117246,2304,20.72455714301905
UTTARAKHAND,2019,526,375,57,475,10,644,3,11272887,2090,18.54005987995799
UTTARAKHAND,2020,1128,7740,522,2488,446,19962,52,11430708,32338,282.90461098297675
UTTARAKHAND,2021,1123,7376,454,2485,424,19952,50,11590737,31864,274.9091796319768
WEST BENGAL,2001,709,695,265,954,48,3859,3,76587765,6533,8.530083101393545
WEST BENGAL,2002,759,694,273,964,34,4069,1,77943369,6794,8.716584986209666
WEST BENGAL,2003,1002,801,329,1186,71,4948,1,79322967,8338,10.511457545454649
WEST BENGAL,2004,1475,1018,396,1566,64,6334,12,80726983,10865,13.458944700063917
WEST BENGAL,2005,1686,1039,446,1572,54,6936,61,82155851,11794,14.35564218061596
WEST BENGAL,2006,1731,1199,445,1837,63,7414,1,83610009,12690,15.177608699934478
WEST BENGAL,2007,2106,1590,451,2281,99,9900,5,85089906,16432,19.311338762085363
WEST BENGAL,2008,2263,1907,451,2396,94,13663,5,86595998,20779,23.995335211680334
WEST BENGAL,2009,2336,2187,506,1942,108,16112,5,88128747,23196,26.32058299887096
WEST BENGAL,2010,2311,2764,507,2465,163,17796,8,89688626,26014,29.004792647843665
WEST BENGAL,2011,2363,3711,510,0,200,19772,96,91276115,26652,29.19931462902425
WEST BENGAL,2012,2046,4168,593,3345,556,19865,109,92553980,30682,33.15038424063449
WEST BENGAL,2013,1685,3830,481,4913,577,18116,104,93849736,29706,31.652726226102544
WEST BENGAL,2014,1466,4976,1,5670,1045,23278,80,95163632,36516,38.37180153023164
WEST BENGAL,2015,1199,3938,498,5069,674,20163,101,96495923,31642,32.79102268393246
WEST BENGAL,2016,1110,4494,535,4177,663,19302,87,97846866,30368,31.036252096209196
WEST BENGAL,2017,1084,4232,499,3832,448,16800,67,99216722,26962,27.174854658068625
WEST BENGAL,2018,1069,4249,444,3399,391,16951,97,100605756,26600,26.43983908833208
WEST BENGAL,2019,1069,4249,444,3399,391,16951,97,102014237,26600,26.07479189399809
WEST BENGAL,2020,2,1,0,15,3,2,0,103442436,23,0.0222345885203244
WEST BENGAL,2021,15,0,1,32,4,4,0,104890630,56,0.053388944274622
